title,magnitude,date_time,cdi,mmi,alert,tsunami,sig,net,nst,dmin,gap,magType,depth,latitude,longitude,location,continent,country,year,month,alert_new,magnitude_bins
"M 6.7 - 107 km NW of Ambon, Indonesia",6.7,1/28/04 22:15,0,6,green,0,691,us,243,0,42.5,mwb,17.4,-3.12,127.4,"Ambon, Indonesia",Asia,Indonesia,2004,1,Yellow,7-Jun
"M 7.3 - 201 km ESE of Tadine, New Caledonia",7.3,12/27/03 16:00,0,4,green,0,820,us,235,0,46.6,mwc,10,-22.015,169.766,"Tadine, New Caledonia",Oceania,New Caledonia,2003,12,Orange,8-Jul
"M 6.6 - 13 km SSW of Bam, Iran",6.6,12/26/03 1:56,0,9,green,0,670,us,552,0,44.8,mwc,10,28.995,58.311,"Bam, Iran",Asia,Iran,2003,12,Yellow,7-Jun
"M 6.5 - 3 km SSE of Progreso, Panama",6.5,12/25/03 7:11,0,6,green,0,650,us,405,0,48.4,mwb,33,8.416,-82.824,"Progreso, Panama",North America,Panama,2003,12,Yellow,7-Jun
"M 6.5 - 10 km NE of San Simeon, California",6.5,12/22/03 19:15,7,9,yellow,0,1390,nc,65,0.04685,71,mw,8.382,35.7005,-121.101,"San Simeon, California",North America,United States of America,2003,12,Yellow,7-Jun
"M 6.8 - 92 km E of Yujing, Taiwan",6.8,12/10/03 4:38,0,7,green,0,711,us,447,0,27.7,mwb,10,23.039,121.362,"Yujing, Taiwan",Asia,Taiwan,2003,12,Yellow,7-Jun
"M 6.6 - 82 km E of Kimbe, Papua New Guinea",6.6,11/25/03 20:19,0,6,green,0,670,us,384,0,25.1,mwb,35,-5.581,150.88,"Kimbe, Papua New Guinea",Oceania,Papua New Guinea,2003,11,Yellow,7-Jun
"M 6.5 - 4 km NW of Can-Avid, Philippines",6.5,11/18/03 17:14,0,6,green,0,650,us,487,0,45.9,mwb,35,12.025,125.416,"Can-Avid, Philippines",Asia,Philippines,2003,11,Yellow,7-Jun
"M 6.6 - 51 km NW of Isangel, Vanuatu",6.6,11/6/03 10:38,0,5,green,0,670,us,475,0,26.2,mwb,113.7,-19.262,168.892,"Isangel, Vanuatu",Oceania,Vanuatu,2003,11,Yellow,7-Jun
"M 7.0 - 133 km ESE of Ishinomaki, Japan",7,10/31/03 1:06,0,5,green,0,754,us,568,0,61.2,mwb,10,37.812,142.619,"Ishinomaki, Japan",Asia,Japan,2003,10,Orange,8-Jul
"M 6.7 - 39 km SSE of Kushiro, Japan",6.7,10/8/03 9:06,0,6,green,0,691,us,556,0,55.4,mwc,32,42.648,144.57,"Kushiro, Japan",Asia,Japan,2003,10,Yellow,7-Jun
"M 6.7 - 9 km S of Aktash, Russia",6.7,10/1/03 1:03,0,7,green,0,691,us,643,0,24.5,mwb,10,50.211,87.721,"Aktash, Russia",Asia,Russia,2003,10,Yellow,7-Jun
"M 6.5 - 58 km S of Kushiro, Japan",6.5,9/29/03 2:36,0,5,green,0,650,us,586,0,71.3,mwc,25,42.45,144.38,"Kushiro, Japan",Asia,Japan,2003,9,Yellow,7-Jun
"M 7.3 - 29 km S of Aktash, Russia",7.3,9/27/03 11:33,0,7,green,0,820,us,667,0,24.5,mwb,16,50.038,87.813,"Aktash, Russia",Europe,Russia,2003,9,Orange,8-Jul
"M 7.4 - 119 km ESE of Shizunai-furukawach?, Japan",7.4,9/25/03 21:08,0,7,green,0,842,us,514,0,78.8,mwc,33,41.774,143.593,"Shizunai-furukawach?, Japan",Asia,Japan,2003,9,Orange,8-Jul
"M 8.2 - 134 km SSW of Kushiro, Japan",8.2,9/25/03 19:50,0,9,green,0,1024,official,0,0,0,mww,27,41.815,143.91,"Kushiro, Japan",Asia,Japan,2003,9,Red,9-Aug
"M 6.6 - 16 km SE of Taungdwingyi, Myanmar",6.6,9/21/03 18:16,0,7,green,0,670,us,518,0,24.7,mwb,10,19.917,95.672,"Taungdwingyi, Myanmar",Asia,Myanmar,2003,9,Yellow,7-Jun
"M 7.2 - 56 km NW of Te Anau, New Zealand",7.2,8/21/03 12:12,0,7,green,0,798,us,428,0,17.5,mwc,28,-45.104,167.144,"Te Anau, New Zealand",Oceania,New Zealand,2003,8,Orange,8-Jul
M 7.6 - Scotia Sea,7.6,8/4/03 4:37,0,6,green,0,889,us,315,0,25.2,mwc,10,-60.532,-43.411,Scotia Sea,Antarctica,British Overseas Territory,2003,8,Orange,8-Jul
"M 6.5 - 41 km N of Rabaul, Papua New Guinea",6.5,7/15/03 18:46,0,6,green,0,650,us,156,0,31.4,mwb,33,-3.828,152.174,"Rabaul, Papua New Guinea",Oceania,Papua New Guinea,2003,7,Yellow,7-Jun
"M 6.8 - 42 km W of Ovalle, Chile",6.8,6/20/03 13:30,0,7,green,0,711,us,398,0,39.1,mwc,33,-30.608,-71.637,"Ovalle, Chile",South America,Chile,2003,6,Yellow,7-Jun
"M 6.9 - 25 km ESE of Atlasovo, Russia",6.9,6/16/03 22:08,0,5,green,0,732,us,733,0,26.7,mwb,174.8,55.492,159.999,"Atlasovo, Russia",Asia,Russia,2003,6,Yellow,7-Jun
"M 6.6 - 87 km SSE of Kokopo, Papua New Guinea",6.6,6/7/03 0:32,0,6,green,0,670,us,419,0,27.8,mwc,33,-5.095,152.502,"Kokopo, Papua New Guinea",Oceania,Papua New Guinea,2003,6,Yellow,7-Jun
"M 7.0 - 116 km NE of Tobelo, Indonesia",7,5/26/03 19:23,0,6,green,0,754,us,473,0,30.3,mwc,31,2.354,128.855,"Tobelo, Indonesia",Asia,Indonesia,2003,5,Orange,8-Jul
"M 7.0 - 27 km SSW of ?funato, Japan",7,5/26/03 9:24,0,7,green,0,754,us,690,0,19.1,mwb,68,38.849,141.568,"?funato, Japan",Asia,Japan,2003,5,Orange,8-Jul
"M 6.8 - 25 km WNW of Dellys, Algeria",6.8,5/21/03 18:44,0,9,green,0,711,us,534,0,19.4,mwc,12,36.964,3.634,"Dellys, Algeria",Africa,Algeria,2003,5,Yellow,7-Jun
"M 6.5 - 46 km NE of Ruteng, Indonesia",6.5,3/25/03 2:53,0,7,green,0,650,us,247,0,28.7,mwc,33,-8.294,120.743,"Ruteng, Indonesia",Asia,Indonesia,2003,3,Yellow,7-Jun
"M 6.8 - 114 km ESE of Kokopo, Papua New Guinea",6.8,3/11/03 7:27,0,7,green,0,711,us,431,0,38.4,mwc,40.2,-4.694,153.238,"Kokopo, Papua New Guinea",Oceania,Papua New Guinea,2003,3,Yellow,7-Jun
"M 7.6 - 16 km SSW of Cuyutlán, Mexico",7.6,1/22/03 2:06,0,7,green,0,889,us,551,0,0,mwb,24,18.77,-104.104,"Cuyutlán, Mexico",North America,Mexico,2003,1,Orange,8-Jul
